"filename", "language", "Visual Basic", "XML", "HTML", "CSS", "JavaScript", "comment", "blank", "total"
"f:\MANDARA10F\MANDARA10sourceCode10015\mandara10Ver10015\mandara2\LinePatternRelated\frmLpatBasicSelect.vb", "Visual Basic", 215, 0, 0, 0, 0, 2, 9, 226
"f:\MANDARA10F\MANDARA10sourceCode10015\mandara10Ver10015\mandara2\LinePatternRelated\frmMakeLineBrokenPattern.Designer.vb", "Visual Basic", 96, 0, 0, 0, 0, 29, 5, 130
"f:\MANDARA10F\MANDARA10sourceCode10015\mandara10Ver10015\mandara2\LinePatternRelated\frmMakeLineBrokenPattern.vb", "Visual Basic", 155, 0, 0, 0, 0, 0, 15, 170
"f:\MANDARA10F\MANDARA10sourceCode10015\mandara10Ver10015\mandara2\LinePatternRelated\frmMakeLineCrossPattern.Designer.vb", "Visual Basic", 112, 0, 0, 0, 0, 32, 5, 149
"f:\MANDARA10F\MANDARA10sourceCode10015\mandara10Ver10015\mandara2\LinePatternRelated\frmMakeLineCrossPattern.vb", "Visual Basic", 210, 0, 0, 0, 0, 0, 8, 218
"f:\MANDARA10F\MANDARA10sourceCode10015\mandara10Ver10015\mandara2\LinePatternRelated\frmMakeLineEdgePattern.Designer.vb", "Visual Basic", 171, 0, 0, 0, 0, 44, 5, 220
"f:\MANDARA10F\MANDARA10sourceCode10015\mandara10Ver10015\mandara2\LinePatternRelated\frmMakeLineEdgePattern.vb", "Visual Basic", 49, 0, 0, 0, 0, 0, 6, 55
"f:\MANDARA10F\MANDARA10sourceCode10015\mandara10Ver10015\mandara2\LinePatternRelated\frmMakeLineParallelPattern.Designer.vb", "Visual Basic", 226, 0, 0, 0, 0, 59, 5, 290
"f:\MANDARA10F\MANDARA10sourceCode10015\mandara10Ver10015\mandara2\LinePatternRelated\frmMakeLineParallelPattern.vb", "Visual Basic", 81, 0, 0, 0, 0, 0, 11, 92
"f:\MANDARA10F\MANDARA10sourceCode10015\mandara10Ver10015\mandara2\LinePatternRelated\frmMakeLinePattern.Designer.vb", "Visual Basic", 209, 0, 0, 0, 0, 56, 5, 270
"f:\MANDARA10F\MANDARA10sourceCode10015\mandara10Ver10015\mandara2\LinePatternRelated\frmMakeLinePattern.vb", "Visual Basic", 99, 0, 0, 0, 0, 0, 15, 114
"f:\MANDARA10F\MANDARA10sourceCode10015\mandara10Ver10015\mandara2\LinePatternRelated\frmMakeLineSolidPattern.Designer.vb", "Visual Basic", 117, 0, 0, 0, 0, 32, 5, 154
"f:\MANDARA10F\MANDARA10sourceCode10015\mandara10Ver10015\mandara2\LinePatternRelated\frmMakeLineSolidPattern.vb", "Visual Basic", 34, 0, 0, 0, 0, 0, 5, 39
"f:\MANDARA10F\MANDARA10sourceCode10015\mandara10Ver10015\mandara2\My Project\Application.Designer.vb", "Visual Basic", 18, 0, 0, 0, 0, 14, 7, 39
"f:\MANDARA10F\MANDARA10sourceCode10015\mandara10Ver10015\mandara2\My Project\AssemblyInfo.vb", "Visual Basic", 13, 0, 0, 0, 0, 15, 8, 36
"f:\MANDARA10F\MANDARA10sourceCode10015\mandara10Ver10015\mandara2\My Project\Resources.Designer.vb", "Visual Basic", 32, 0, 0, 0, 0, 23, 9, 64
"f:\MANDARA10F\MANDARA10sourceCode10015\mandara10Ver10015\mandara2\My Project\Settings.Designer.vb", "Visual Basic", 51, 0, 0, 0, 0, 9, 14, 74
"f:\MANDARA10F\MANDARA10sourceCode10015\mandara10Ver10015\mandara2\Settings.vb", "Visual Basic", 4, 0, 0, 0, 0, 5, 3, 12
"f:\MANDARA10F\MANDARA10sourceCode10015\mandara10Ver10015\mandara2\TKY2JGD.vb", "Visual Basic", 334, 0, 0, 0, 0, 227, 47, 608
"f:\MANDARA10F\MANDARA10sourceCode10015\mandara10Ver10015\mandara2\bin\Release\MANDARA10.xml", "XML", 0, 10944, 0, 0, 0, 0, 2, 10946
"f:\MANDARA10F\MANDARA10sourceCode10015\mandara10Ver10015\mandara2\bin\Release\Newtonsoft.Json.xml", "XML", 0, 11262, 0, 0, 0, 0, 1, 11263
"f:\MANDARA10F\MANDARA10sourceCode10015\mandara10Ver10015\mandara2\bin\Release\help\StyleSheet.css", "CSS", 0, 0, 0, 106, 0, 0, 11, 117
"f:\MANDARA10F\MANDARA10sourceCode10015\mandara10Ver10015\mandara2\bin\Release\help\about.html", "HTML", 0, 0, 121, 0, 0, 0, 9, 130
"f:\MANDARA10F\MANDARA10sourceCode10015\mandara10Ver10015\mandara2\bin\Release\help\glossary.html", "HTML", 0, 0, 104, 0, 0, 0, 9, 113
"f:\MANDARA10F\MANDARA10sourceCode10015\mandara10Ver10015\mandara2\bin\Release\help\index.html", "HTML", 0, 0, 110, 0, 0, 0, 4, 114
"f:\MANDARA10F\MANDARA10sourceCode10015\mandara10Ver10015\mandara2\bin\Release\help\mapeditor.html", "HTML", 0, 0, 1120, 0, 0, 0, 66, 1186
"f:\MANDARA10F\MANDARA10sourceCode10015\mandara10Ver10015\mandara2\bin\Release\help\outputwindow.html", "HTML", 0, 0, 567, 0, 0, 0, 21, 588
"f:\MANDARA10F\MANDARA10sourceCode10015\mandara10Ver10015\mandara2\bin\Release\help\propertydata.html", "HTML", 0, 0, 902, 0, 0, 0, 35, 937
"f:\MANDARA10F\MANDARA10sourceCode10015\mandara10Ver10015\mandara2\bin\Release\help\settingwindow.html", "HTML", 0, 0, 829, 0, 0, 0, 19, 848
"f:\MANDARA10F\MANDARA10sourceCode10015\mandara10Ver10015\mandara2\bin\Release\help\subwindow.html", "HTML", 0, 0, 202, 0, 0, 0, 10, 212
"f:\MANDARA10F\MANDARA10sourceCode10015\mandara10Ver10015\mandara2\bin\Release\kjmapdata.js", "JavaScript", 0, 0, 0, 0, 5721, 4, 8, 5733
"f:\MANDARA10F\MANDARA10sourceCode10015\mandara10Ver10015\mandara2\bin\Release\tilemapdata.xml", "XML", 0, 1332, 0, 0, 0, 0, 1, 1333
"f:\MANDARA10F\MANDARA10sourceCode10015\mandara10Ver10015\mandara2\clsAttrData.vb", "Visual Basic", 7566, 0, 0, 0, 0, 1792, 480, 9838
"f:\MANDARA10F\MANDARA10sourceCode10015\mandara10Ver10015\mandara2\clsDraw.vb", "Visual Basic", 1081, 0, 0, 0, 0, 174, 156, 1411
"f:\MANDARA10F\MANDARA10sourceCode10015\mandara10Ver10015\mandara2\clsDrawMarkFan.vb", "Visual Basic", 312, 0, 0, 0, 0, 42, 33, 387
"f:\MANDARA10F\MANDARA10sourceCode10015\mandara10Ver10015\mandara2\clsDrawTile.vb", "Visual Basic", 331, 0, 0, 0, 0, 71, 47, 449
"f:\MANDARA10F\MANDARA10sourceCode10015\mandara10Ver10015\mandara2\clsExtendedControl.vb", "Visual Basic", 628, 0, 0, 0, 0, 149, 66, 843
"f:\MANDARA10F\MANDARA10sourceCode10015\mandara10Ver10015\mandara2\clsGeneric.vb", "Visual Basic", 4536, 0, 0, 0, 0, 1658, 317, 6511
"f:\MANDARA10F\MANDARA10sourceCode10015\mandara10Ver10015\mandara2\clsMapData.vb", "Visual Basic", 5693, 0, 0, 0, 0, 1492, 633, 7818
"f:\MANDARA10F\MANDARA10sourceCode10015\mandara10Ver10015\mandara2\clsMeshContour.vb", "Visual Basic", 556, 0, 0, 0, 0, 80, 80, 716
